attack,setting,method,coverage,risk,accuracy,f1,precision,recall,fpr,fnr,auroc,auprc,json_validity_rate,avg_latency_ms,avg_tokens_per_sec
clean,before,clean_before,0.9666666666666667,0.3448275862068966,0.6551724137931034,0.5454545454545454,0.75,0.42857142857142855,0.13333333333333333,0.5714285714285714,0.6333333333333333,0.5651477832512315,1.0,2675.5399147669473,12.60053719908087
clean,after,clean_after,0.9333333333333333,0.3928571428571429,0.6071428571428571,0.47619047619047616,0.7142857142857143,0.35714285714285715,0.14285714285714285,0.6428571428571429,0.5969387755102041,0.5520408163265306,0.9333333333333333,2821.08416557312,12.344371747025123
typos,before,typos_before,0.9,0.40740740740740744,0.5925925925925926,0.47619047619047616,0.7142857142857143,0.35714285714285715,0.15384615384615385,0.6428571428571429,0.5714285714285715,0.574829931972789,0.9,3000.68256855011,12.07865343444294
typos,after,typos_after,0.9,0.40740740740740744,0.5925925925925926,0.47619047619047616,0.7142857142857143,0.35714285714285715,0.15384615384615385,0.6428571428571429,0.5714285714285715,0.574829931972789,0.9,3005.381361643473,12.273625220706272
repetition,before,repetition_before,0.9333333333333333,0.4285714285714286,0.5714285714285714,0.5,0.6666666666666666,0.4,0.23076923076923078,0.6,0.5846153846153845,0.5880952380952381,0.9333333333333333,2827.7390797932944,11.356264440160851
repetition,after,repetition_after,0.9333333333333333,0.3928571428571429,0.6071428571428571,0.5217391304347826,0.6666666666666666,0.42857142857142855,0.21428571428571427,0.5714285714285714,0.5994897959183673,0.5571428571428572,0.9333333333333333,2818.6601718266807,11.831983535085756
spacing,before,spacing_before,0.9666666666666667,0.3448275862068966,0.6551724137931034,0.5454545454545454,0.75,0.42857142857142855,0.13333333333333333,0.5714285714285714,0.6333333333333333,0.5651477832512315,1.0,2993.120344479879,11.76841280673174
spacing,after,spacing_after,0.9333333333333333,0.3928571428571429,0.6071428571428571,0.47619047619047616,0.7142857142857143,0.35714285714285715,0.14285714285714285,0.6428571428571429,0.5969387755102041,0.5520408163265306,0.9333333333333333,2880.341641108195,12.133201750925853
leetspeak,before,leetspeak_before,0.8666666666666667,0.5,0.5,0.3157894736842105,0.42857142857142855,0.25,0.2857142857142857,0.75,0.5119047619047619,0.4630952380952381,0.8666666666666667,3698.8040129343667,11.387507372603617
leetspeak,after,leetspeak_after,0.8666666666666667,0.3846153846153846,0.6153846153846154,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.556547619047619,0.5132478632478633,0.8666666666666667,2959.4780921936035,11.619769663129974
benign_quote,before,benign_quote_before,1.0,0.4666666666666667,0.5333333333333333,0.125,1.0,0.06666666666666667,0.0,0.9333333333333333,0.5022222222222222,0.5333333333333333,1.0,2739.7967179616294,12.62926315159071
benign_quote,after,benign_quote_after,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.4666666666666667,0.5,1.0,2746.517642339071,12.62212653726952
